current_stock,running_stock,quantity,unit_price,transaction_cost,section_id,brand,supplier,location,manager,section_name,transaction_type,unit_of_measure,performed_by,transaction_date,stock_level
100,92,66,902.74,338.9,9,Brand B,Supplier Z,Depot 2,Manager 3,Section C,Purchase,Boxes,User1,2024-11-15,Very High
17,23,6,842.82,195.73,1,Brand B,Supplier Z,Depot 2,Manager 1,Section A,Purchase,Boxes,User1,2024-06-25,Low
17,14,10,460.62,152.16,6,Brand A,Supplier Y,Depot 3,Manager 1,Section C,Sale,Pieces,User3,2024-08-08,Low
13,14,13,309.56,392.07,7,Brand A,Supplier Y,Depot 1,Manager 1,Section C,Purchase,Kg,User2,2024-03-16,Low
67,51,37,624.69,177.32,11,Brand B,Supplier Y,Depot 1,Manager 3,Section A,Purchase,Boxes,User1,2024-08-24,High
9,9,2,762.25,347.01,4,Brand D,Supplier X,Depot 3,Manager 2,Section C,Return,Kg,User2,2024-08-25,Very Low
39,32,24,383.03,120.44,19,Brand C,Supplier X,Depot 1,Manager 1,Section A,Sale,Pieces,User1,2024-03-16,Perfect
28,49,17,143.34,214.41,6,Brand B,Supplier X,Depot 2,Manager 3,Section B,Purchase,Pieces,User3,2024-02-04,Perfect
69,69,45,501.5,179.44,16,Brand B,Supplier Z,Depot 1,Manager 1,Section B,Return,Kg,User2,2024-03-12,High
13,22,8,309.83,194.1,8,Brand A,Supplier Z,Depot 2,Manager 2,Section C,Sale,Kg,User2,2024-12-21,Low
36,29,16,866.77,79.89,17,Brand D,Supplier Z,Depot 2,Manager 1,Section C,Purchase,Kg,User2,2024-11-23,Perfect
31,41,30,24.68,360.34,1,Brand A,Supplier Z,Depot 3,Manager 3,Section B,Sale,Kg,User1,2024-08-31,Perfect
47,42,24,843.89,127.29,10,Brand D,Supplier X,Depot 3,Manager 2,Section A,Purchase,Pieces,User3,2024-05-13,Perfect
99,79,79,922.1,86.2,9,Brand C,Supplier Y,Depot 2,Manager 1,Section C,Return,Pieces,User3,2024-01-18,Very High
11,18,12,122.31,193.14,7,Brand C,Supplier Z,Depot 1,Manager 2,Section C,Return,Kg,User3,2024-10-02,Low
5,9,0,168.21,122.05,18,Brand A,Supplier Y,Depot 3,Manager 1,Section C,Return,Boxes,User3,2024-01-29,Very Low
47,36,28,152.89,281.38,5,Brand C,Supplier Y,Depot 3,Manager 2,Section A,Return,Boxes,User2,2024-06-24,Perfect
8,5,3,794.86,102.07,20,Brand B,Supplier Z,Depot 2,Manager 3,Section C,Return,Pieces,User3,2024-03-28,Very Low
23,20,10,147.31,6.23,8,Brand A,Supplier X,Depot 2,Manager 1,Section A,Sale,Boxes,User3,2024-11-02,Low
62,60,49,87.69,271.34,9,Brand B,Supplier Y,Depot 3,Manager 1,Section C,Purchase,Pieces,User2,2024-09-02,High
25,13,14,849.79,285.62,8,Brand D,Supplier Y,Depot 2,Manager 2,Section A,Return,Pieces,User2,2024-10-22,Low
5,10,0,818.42,244.73,4,Brand D,Supplier Z,Depot 2,Manager 2,Section B,Return,Boxes,User2,2024-05-22,Very Low
59,57,47,407.62,192.45,10,Brand B,Supplier Z,Depot 1,Manager 3,Section A,Purchase,Kg,User3,2024-09-05,High
24,12,12,684.94,292.57,16,Brand D,Supplier Y,Depot 2,Manager 3,Section A,Purchase,Kg,User1,2024-07-20,Low
88,93,57,173.94,182.92,5,Brand A,Supplier X,Depot 2,Manager 1,Section A,Purchase,Kg,User1,2024-03-20,Very High
77,90,68,627.39,429.75,14,Brand B,Supplier X,Depot 1,Manager 3,Section C,Sale,Boxes,User1,2024-04-18,Very High
4,1,4,34.0,143.94,18,Brand D,Supplier Z,Depot 2,Manager 3,Section A,Sale,Boxes,User1,2024-04-03,Very Low
17,15,10,367.05,436.88,8,Brand D,Supplier X,Depot 2,Manager 3,Section A,Purchase,Boxes,User2,2024-10-24,Low
12,20,8,658.14,117.57,10,Brand A,Supplier Y,Depot 2,Manager 3,Section A,Purchase,Kg,User3,2024-05-29,Low
26,41,24,421.33,218.82,1,Brand B,Supplier Z,Depot 3,Manager 3,Section C,Sale,Pieces,User1,2024-07-26,Perfect
69,58,42,330.31,256.59,9,Brand B,Supplier X,Depot 1,Manager 3,Section A,Purchase,Pieces,User1,2024-12-01,High
18,20,8,362.0,392.29,13,Brand B,Supplier Y,Depot 2,Manager 3,Section B,Sale,Boxes,User3,2024-03-24,Low
3,1,2,747.33,234.43,13,Brand C,Supplier Z,Depot 1,Manager 1,Section C,Return,Pieces,User2,2024-03-14,Very Low
86,78,68,449.99,162.91,15,Brand A,Supplier Z,Depot 3,Manager 1,Section A,Sale,Pieces,User2,2024-01-16,Very High
67,70,38,814.79,198.56,10,Brand B,Supplier X,Depot 2,Manager 2,Section C,Return,Kg,User1,2024-06-05,High
13,21,8,652.1,312.29,6,Brand C,Supplier X,Depot 1,Manager 2,Section B,Return,Kg,User2,2024-02-26,Low
18,25,11,131.01,55.54,2,Brand A,Supplier Y,Depot 1,Manager 3,Section C,Sale,Kg,User3,2024-09-17,Low
72,60,47,102.29,355.37,14,Brand C,Supplier Z,Depot 2,Manager 3,Section B,Return,Kg,User1,2024-11-26,High
74,69,50,513.41,274.63,16,Brand C,Supplier Z,Depot 3,Manager 3,Section C,Purchase,Boxes,User3,2024-11-11,High
18,25,10,638.64,497.56,15,Brand C,Supplier Z,Depot 1,Manager 2,Section A,Sale,Pieces,User2,2024-06-10,Low
48,42,26,61.17,94.2,17,Brand C,Supplier Y,Depot 2,Manager 3,Section C,Sale,Kg,User3,2024-11-22,Perfect
13,16,11,283.58,153.97,16,Brand B,Supplier Y,Depot 1,Manager 3,Section C,Purchase,Boxes,User2,2024-06-11,Low
24,12,8,534.4,33.4,12,Brand C,Supplier X,Depot 3,Manager 2,Section B,Sale,Pieces,User1,2024-05-06,Low
16,21,8,262.38,434.81,3,Brand C,Supplier X,Depot 2,Manager 3,Section A,Return,Boxes,User3,2024-08-28,Low
1,10,1,126.87,385.79,19,Brand B,Supplier X,Depot 2,Manager 2,Section C,Return,Boxes,User2,2024-10-28,Very Low
99,76,75,313.77,170.69,7,Brand D,Supplier Z,Depot 3,Manager 1,Section A,Purchase,Kg,User2,2024-04-14,Very High
31,43,30,835.81,51.75,19,Brand D,Supplier X,Depot 1,Manager 2,Section B,Sale,Kg,User3,2024-02-24,Perfect
30,39,30,966.13,419.62,11,Brand A,Supplier Y,Depot 2,Manager 3,Section A,Return,Kg,User1,2024-02-29,Perfect
55,63,45,899.85,349.02,11,Brand D,Supplier X,Depot 3,Manager 1,Section C,Purchase,Kg,User1,2024-01-21,High
25,18,8,550.56,475.25,15,Brand D,Supplier X,Depot 2,Manager 2,Section C,Purchase,Kg,User2,2024-04-26,Low
92,88,74,805.3,19.15,1,Brand B,Supplier Z,Depot 2,Manager 2,Section B,Return,Pieces,User3,2024-10-05,Very High
